iter	Passed	Remaining
243	1632	5056
244	1637	5045
245	1642	5034
246	1648	5024
247	1653	5013
248	1658	5002
249	1664	4992
250	1669	4981
251	1674	4970
252	1680	4960
253	1685	4950
254	1690	4939
255	1695	4928
256	1701	4918
257	1706	4908
258	1712	4898
259	1717	4887
260	1722	4877
261	1728	4869
262	1734	4859
263	1741	4853
264	1747	4847
265	1752	4837
266	1758	4826
267	1763	4817
268	1768	4807
269	1774	4797
270	1780	4790
271	1786	4781
272	1792	4772
273	1797	4762
274	1802	4753
275	1807	4742
276	1813	4734
277	1819	4724
278	1824	4715
279	1831	4708
280	1837	4701
281	1843	4692
282	1849	4685
283	1855	4678
284	1861	4669
285	1866	4659
286	1871	4650
287	1877	4641
288	1882	4631
289	1887	4621
290	1893	4613
291	1898	4604
292	1904	4594
293	1910	4586
294	1916	4578
295	1921	4570
296	1927	4562
297	1933	4553
298	1938	4544
299	1943	4535
300	1949	4526
301	1954	4517
302	1960	4510
303	1966	4501
304	1971	4492
305	1977	4483
306	1982	4474
307	1987	4465
308	1993	4457
309	1998	4448
310	2004	4439
311	2009	4431
312	2014	4421
313	2020	4413
314	2025	4404
315	2030	4395
316	2036	4387
317	2042	4380
318	2047	4371
319	2052	4362
320	2059	4355
321	2064	4346
322	2069	4338
323	2076	4331
324	2081	4322
325	2086	4314
326	2091	4305
327	2097	4296
328	2102	4288
329	2108	4280
330	2113	4271
331	2119	4264
332	2124	4255
333	2129	4246
334	2135	4238
335	2140	4230
336	2145	4221
337	2151	4213
338	2156	4205
339	2162	4197
340	2167	4188
341	2173	4180
342	2178	4172
343	2183	4164
344	2189	4156
345	2194	4148
346	2200	4140
347	2207	4136
348	2213	4127
349	2218	4119
350	2223	4111
351	2228	4103
352	2234	4094
353	2239	4086
354	2245	4079
355	2250	4070
356	2255	4062
357	2261	4054
358	2266	4047
359	2272	4039
360	2277	4031
361	2283	4023
362	2288	4015
363	2293	4008
364	2300	4001
365	2305	3993
366	2310	3985
367	2316	3978
368	2322	3971
369	2328	3965
370	2334	3958
371	2340	3951
372	2346	3943
373	2351	3936
374	2357	3928
375	2362	3920
376	2367	3913
377	2373	3905
378	2378	3897
379	2384	3889
380	2389	3882
381	2394	3874
382	2400	3866
383	2405	3858
384	2410	3850
385	2415	3843
386	2421	3835
387	2426	3827
388	2431	3819
389	2437	3811
390	2442	3804
391	2447	3796
392	2453	3788
393	2458	3781
394	2464	3773
395	2469	3766
396	2474	3758
397	2479	3751
398	2485	3743
399	2490	3736
400	2496	3728
401	2501	3720
402	2506	3713
403	2512	3705
404	2517	3698
405	2522	3690
406	2528	3683
407	2533	3675
408	2538	3668
409	2543	3660
410	2549	3653
411	2554	3645
412	2559	3638
413	2565	3630
414	2570	3623
415	2576	3616
416	2581	3609
417	2586	3601
418	2592	3594
419	2597	3587
420	2603	3580
421	2608	3572
422	2613	3565
423	2619	3558
424	2624	3550
425	2629	3543
426	2635	3536
427	2640	3529
428	2645	3521
429	2651	3514
430	2657	3507
431	2662	3500
432	2667	3493
433	2673	3486
434	2678	3478
435	2683	3471
436	2688	3463
437	2694	3456
438	2699	3449
439	2704	3442
440	2710	3435
441	2715	3428
442	2720	3421
443	2726	3414
444	2731	3407
445	2737	3400
446	2742	3393
447	2748	3386
448	2753	3379
449	2759	3372
450	2764	3365
451	2769	3357
452	2775	3351
453	2780	3343
454	2785	3336
455	2791	3329
456	2796	3322
457	2801	3315
458	2807	3308
459	2812	3301
460	2817	3294
461	2823	3287
462	2828	3280
463	2833	3273
464	2839	3266
465	2844	3259
466	2850	3252
467	2855	3246
468	2861	3239
469	2866	3232
470	2871	3225
471	2877	3218
472	2882	3211
473	2887	3204
474	2893	3197
475	2898	3190
476	2903	3184
477	2909	3177
478	2914	3170
479	2920	3163
480	2925	3156
481	2930	3149
482	2935	3142
483	2941	3135
484	2946	3128
485	2952	3122
486	2957	3115
487	2962	3108
488	2968	3101
489	2973	3094
490	2978	3087
491	2983	3080
492	2989	3074
493	2994	3067
494	2999	3060
495	3005	3053
496	3010	3046
497	3015	3040
498	3021	3033
499	3026	3026
500	3031	3019
501	3037	3012
502	3042	3006
503	3047	2999
504	3053	2992
505	3058	2985
506	3063	2979
507	3069	2972
508	3074	2965
509	3079	2959
510	3085	2952
511	3090	2945
512	3095	2938
513	3101	2932
514	3106	2925
515	3111	2918
516	3116	2911
517	3122	2905
518	3127	2898
519	3133	2892
520	3138	2885
521	3143	2878
522	3149	2872
523	3154	2865
524	3160	2859
525	3165	2852
526	3171	2846
527	3176	2839
528	3182	2833
529	3187	2826
530	3193	2820
531	3199	2814
532	3205	2808
533	3210	2801
534	3217	2796
535	3222	2789
536	3228	2783
537	3233	2776
538	3238	2770
539	3245	2764
540	3250	2757
541	3256	2751
542	3261	2744
543	3266	2738
544	3271	2731
545	3277	2725
546	3283	2718
547	3288	2712
548	3293	2705
549	3300	2700
550	3306	2694
551	3312	2688
552	3317	2681
553	3322	2675
554	3328	2668
555	3333	2661
556	3338	2655
557	3344	2649
558	3350	2643
559	3356	2636
560	3361	2630
561	3367	2624
562	3372	2617
563	3378	2611
564	3383	2605
565	3389	2598
566	3395	2592
567	3401	2587
568	3407	2580
569	3412	2574
570	3417	2567
571	3422	2561
572	3428	2554
573	3434	2548
574	3441	2543
575	3446	2537
576	3451	2530
577	3457	2524
578	3462	2517
579	3468	2511
580	3474	2505
581	3479	2498
582	3484	2492
583	3490	2486
584	3495	2479
585	3500	2473
586	3506	2466
587	3511	2460
588	3516	2454
589	3522	2447
590	3527	2441
591	3532	2434
592	3538	2428
593	3543	2422
594	3549	2415
595	3554	2409
596	3559	2403
597	3565	2396
598	3570	2390
599	3575	2383
600	3581	2377
601	3586	2371
602	3591	2364
603	3596	2358
604	3602	2351
605	3607	2345
606	3613	2339
607	3618	2333
608	3623	2326
609	3629	2320
610	3634	2314
611	3640	2307
612	3645	2301
613	3651	2295
614	3656	2288
615	3661	2282
616	3666	2276
617	3672	2269
618	3677	2263
619	3682	2257
620	3687	2250
621	3693	2244
622	3699	2238
623	3704	2232
624	3710	2226
625	3716	2220
626	3721	2214
627	3726	2207
628	3732	2201
629	3737	2195
630	3742	2188
631	3748	2182
632	3753	2176
633	3758	2169
634	3764	2163
635	3769	2157
636	3775	2151
637	3780	2144
638	3786	2139
639	3792	2133
640	3798	2127
641	3804	2121
642	3810	2115
643	3816	2109
644	3822	2103
645	3830	2099
646	3838	2094
647	3845	2089
648	3852	2083
649	3859	2078
650	3866	2072
651	3874	2067
652	3882	2062
653	3887	2056
654	3894	2051
655	3901	2046
656	3907	2039
657	3912	2033
658	3918	2027
659	3923	2021
660	3929	2015
661	3935	2009
662	3940	2002
663	3945	1996
664	3951	1990
665	3956	1984
666	3961	1977
667	3967	1971
668	3972	1965
669	3977	1959
670	3982	1952
671	3988	1946
672	3993	1940
673	3998	1934
674	4004	1927
675	4009	1921
676	4014	1915
677	4019	1909
678	4026	1903
679	4031	1897
680	4037	1891
681	4042	1884
682	4047	1878
683	4052	1872
684	4058	1866
685	4063	1860
686	4069	1853
687	4074	1847
688	4079	1841
689	4084	1835
690	4090	1829
691	4095	1822
692	4100	1816
693	4105	1810
694	4111	1804
695	4116	1798
696	4121	1791
697	4127	1785
698	4132	1779
699	4137	1773
700	4143	1767
701	4148	1761
702	4153	1754
703	4159	1748
704	4164	1742
705	4170	1736
706	4175	1730
707	4180	1724
708	4186	1718
709	4191	1712
710	4197	1705
711	4202	1699
712	4207	1693
713	4212	1687
714	4218	1681
715	4223	1675
716	4228	1669
717	4233	1662
718	4239	1657
719	4245	1651
720	4251	1645
721	4256	1639
722	4262	1633
723	4267	1626
724	4273	1620
725	4278	1614
726	4283	1608
727	4289	1602
728	4294	1596
729	4299	1590
730	4304	1584
731	4310	1578
732	4315	1571
733	4320	1565
734	4326	1559
735	4331	1553
736	4336	1547
737	4342	1541
738	4347	1535
739	4352	1529
740	4357	1523
741	4363	1517
742	4368	1511
743	4374	1505
744	4379	1498
745	4384	1492
746	4390	1486
747	4395	1480
748	4400	1474
749	4405	1468
750	4411	1462
751	4417	1456
752	4422	1450
753	4427	1444
754	4433	1438
755	4438	1432
756	4443	1426
757	4449	1420
758	4454	1414
759	4460	1408
760	4465	1402
761	4470	1396
762	4476	1390
763	4481	1384
764	4486	1378
765	4492	1372
766	4497	1366
767	4502	1360
768	4508	1354
769	4513	1348
770	4519	1342
771	4524	1336
772	4530	1330
773	4535	1324
774	4541	1318
775	4546	1312
776	4551	1306
777	4556	1300
778	4562	1294
779	4567	1288
780	4572	1282
781	4578	1276
782	4583	1270
783	4588	1264
784	4594	1258
785	4600	1252
786	4605	1246
787	4610	1240
788	4616	1234
789	4621	1228
790	4627	1222
791	4632	1216
792	4638	1210
793	4643	1204
794	4649	1198
795	4654	1192
796	4660	1186
797	4665	1181
798	4671	1175
799	4676	1169
800	4682	1163
801	4687	1157
802	4692	1151
803	4698	1145
804	4703	1139
805	4709	1133
806	4714	1127
807	4720	1121
808	4725	1115
809	4731	1109
810	4736	1103
811	4741	1097
812	4747	1091
813	4753	1086
814	4760	1080
815	4766	1074
816	4772	1068
817	4778	1063
818	4784	1057
819	4789	1051
820	4796	1045
821	4802	1039
822	4808	1034
823	4814	1028
824	4819	1022
825	4825	1016
826	4830	1010
827	4835	1004
828	4840	998
829	4846	992
830	4851	986
831	4857	980
832	4862	974
833	4868	968
834	4873	963
835	4878	957
836	4884	951
837	4889	945
838	4895	939
839	4900	933
840	4905	927
841	4910	921
842	4916	915
843	4921	909
844	4927	903
845	4932	897
846	4938	892
847	4943	886
848	4949	880
849	4954	874
850	4959	868
851	4965	862
852	4970	856
853	4976	850
854	4981	844
855	4987	838
856	4992	833
857	4998	827
858	5003	821
859	5008	815
860	5014	809
861	5019	803
862	5024	797
863	5030	791
864	5035	785
865	5040	780
866	5046	774
867	5051	768
868	5057	762
869	5062	756
870	5068	750
871	5073	744
872	5079	738
873	5084	732
874	5089	727
875	5095	721
876	5100	715
877	5105	709
878	5111	703
879	5117	697
880	5122	691
881	5128	686
882	5133	680
883	5138	674
884	5144	668
885	5149	662
886	5155	656
887	5160	650
888	5166	645
889	5171	639
890	5176	633
891	5182	627
892	5188	621
893	5193	615
894	5199	610
895	5205	604
896	5210	598
897	5216	592
898	5221	586
899	5227	580
900	5232	574
901	5238	569
902	5243	563
903	5249	557
904	5254	551
905	5259	545
906	5264	539
907	5269	533
908	5275	528
909	5280	522
910	5286	516
911	5291	510
912	5296	504
913	5301	498
914	5307	493
915	5312	487
916	5317	481
917	5323	475
918	5328	469
919	5333	463
920	5339	457
921	5344	452
922	5349	446
923	5355	440
924	5360	434
925	5365	428
926	5370	422
927	5375	417
928	5381	411
929	5386	405
930	5392	399
931	5397	393
932	5402	387
933	5408	382
934	5413	376
935	5418	370
936	5424	364
937	5429	358
938	5434	353
939	5440	347
940	5445	341
941	5451	335
942	5456	329
943	5462	324
944	5467	318
945	5472	312
946	5477	306
947	5483	300
948	5489	294
949	5494	289
950	5499	283
951	5505	277
952	5510	271
953	5515	265
954	5521	260
955	5526	254
956	5531	248
957	5537	242
958	5542	236
959	5547	231
960	5553	225
961	5558	219
962	5563	213
963	5569	207
964	5575	202
965	5580	196
966	5585	190
967	5591	184
968	5596	179
969	5602	173
970	5607	167
971	5612	161
972	5618	155
973	5623	150
974	5629	144
975	5634	138
976	5639	132
977	5645	126
978	5650	121
979	5655	115
980	5661	109
981	5666	103
982	5672	98
983	5677	92
984	5683	86
985	5688	80
986	5693	74
987	5698	69
988	5704	63
989	5709	57
990	5715	51
991	5720	46
992	5726	40
993	5731	34
994	5737	28
995	5742	23
996	5747	17
997	5752	11
998	5758	5
999	5763	0
